,image_id,question,answer
294153,216075,What color hat is the man wearing?,white
270608,253261,"What color is the ""Hong Kong museum""?",white
394874,73694,What color is the skater's shirt?,white
317075,222929,What color is the car?,white
343142,231012,What color are the buses?,white
240459,68444,What are the colors of teddy bears?,white
143086,302657,What color is the liquid in the cup?,white
373085,371254,What color is the train?,white
3668,109148,What fur is left on the animal?,white
375268,542582,What color is the largest vehicle on the street?,white
213061,60320,What color is the girl's jacket?,white
29609,401670,What color is the sky?,white
52357,407967,What is the color of the flowers?,white
105427,423046,What color are his shoes?,white
343300,493202,What color is the man's shirt?,white
385968,291827,What color are the boogie boards?,white
324636,239801,What is the color of the plate?,white
295816,347691,What is the color of the guy's socks?,white
256308,536509,What color are the tiles?,white
233972,459747,What color are the birds?,white
107771,554744,What color is the phone?,white
133055,561894,What is the color of the fridge?,white
107821,292620,What colors are in the birds' feathers?,white
61402,17352,What color is the plate?,white
202102,581362,What color is the napkin?,white
98026,336990,What is the color of the bed cover?,white
184151,51965,What color is the bus on the right?,white
201064,187878,What color is the screen's background?,white
96953,158445,What color pants is the woman wearing?,white
413811,323784,What color is the toilet?,white
284907,213219,What color are the bristles?,white
59122,409933,What color is the stripe on the plane?,white
401568,397619,What color is the guys shirt?,white
275110,341232,What color are the two sofas?,white
379855,478675,What color is the cat's left arm?,white
283866,60496,What color is the shirt?,white
286070,238432,What Color is the bus?,white
267710,338969,What color is the truck?,white
426639,108360,The ethnicity of the kids are?,white
45384,406047,What color are the Olympic rings?,white
21601,137228,What is the race of the man in the picture?,white
108306,292752,What color is the nearest sailboat?,white
55189,15552,What color is the keyboard?,white
46524,275297,What color is the Frisbee?,white
114690,425701,What color is the bowl?,white
266364,76401,What color are the paper lanterns?,white
110772,31335,What is the color of the shirt on the man to the right?,white
130258,298931,What color shirt is the mom wearing?,white
231297,265553,What color are the batter's socks?,white
92071,157045,What is the main color of the bathroom?,white
297712,217197,What color is the train?,white
362007,119418,What color is the toilet?,white
314931,91234,What color is the truck?,white
314235,91056,What is the color of the label of the third bottle?,white
387874,375951,What color is the skateboarders shirt?,white
160748,226383,What color is the sink?,white
185780,183481,What is the ethnicity of the baby?,white
116522,295122,What color is the toilet seat?,white
142878,465495,What color is the pillow the cat is on?,white
188140,315200,What color is the cutting board?,white
213001,94004,What color is the surfboard?,white
4465,263446,What is the color of the bowl in this picture?,white
131333,97255,What color is the building in the background?,white
340994,361384,What is the color of the snow?,white
38275,535126,What color is the bed?,white
104589,422810,What color is the window sill?,white
285710,475659,What color are the flowers?,white
303658,391367,What color is the boat?,white
39259,142191,What color is that train?,white
17341,288223,What color is the underside of the snowboard?,white
421709,255374,What color band is around the man's right wrist?,white
120389,558348,What color is the man's hat?,white
384994,112887,What color is the plate?,white
47948,537825,What color are the plates?,white
385344,113023,What color are the plates?,white
40247,309404,What is the color of the frosting?,white
175394,463839,What color are the surfboards?,white
353314,496306,What color are the majority of the tiles?,white
224369,438575,What color is the car in the picture?,white
194120,402335,What color is the car near the bikes?,white
294442,57871,What color is the clock?,white
6208,502738,What color is the fire hydrant?,white
158185,356970,What color is the train?,white
433118,390001,What color are the stripes on the bus?,white
297561,348221,What color is the wall?,white
254826,203937,What color is the mouse?,white
207592,320867,What is the dominant color of the background?,white
355509,103778,What color is the spoon in the bowl?,white
167626,571648,What color is the man wearing?,white
190145,53644,What kind of frosting is on the doughnut?,white
88151,287027,What color is the tablecloth?,white
283318,426077,What is the color of the walls?,white
172652,376972,What is the main color of the motorcycle?,white
170179,441263,What color is his shirt?,white
80295,546959,What color is the snow?,white
150400,435716,What color is the tablecloth?,white
141766,72229,Which color is dominant?,white
152652,165265,What color are the cabinets?,white
91700,419375,What color are the lines in the road?,white
201372,581181,What is the color of paint he has worn?,white
233845,459716,What color is the tablecloth?,white
321578,486449,What color is the closest car?,white
250835,202800,What is the race of the guy?,white
132880,430790,What color are the clouds in the sky?,white
351682,495797,What color is the bottle?,white
413987,187371,What breed is the horses?,white
174101,182957,What kind of collar is on the shirt?,white
319086,485685,What color is the boat on the right?,white
211498,190927,What color is the box?,white
393267,115519,What is the color of the house?,white
431859,23544,What color is the pillow?,white
26849,269829,What color are the stripes on the street?,white
79542,366009,What color is the napkin?,white
393441,246639,What color is the cat?,white
422655,386768,What color is the table?,white
398256,379159,What color is the ship?,white
426508,387976,What ethnicity are they?,white
424247,283004,What color is the dress?,white
320804,355122,What is the color of the uniform the man is wearing?,white
178768,443725,What color is the front pillow?,white
336026,490870,What color is the bus in the background?,white
247406,463792,What color is the racket?,white
59285,16755,What color are the buildings in the background?,white
97613,70133,What color is the sink?,white
263354,337628,What color sprinkles are on the doughnut?,white
177181,312218,What color is the trailer?,white
295279,299630,What color is the bird?,white
312234,221459,What color are the towel?,white
220545,455737,What color is the wall?,white
238393,368879,What color is the plate?,white
133093,28116,What color is the tail of the horse in the back of the line?,white
276106,211347,What color are the walls?,white
46984,13279,What color is the snow?,white
246655,467469,What color is the dog's neck?,white
170856,441461,What color are the plates on the table?,white
33624,402776,What is the race of the teacher?,white
214273,322820,What color is the bird?,white
185017,407118,What color are the cabinets?,white
420803,386162,What color is the man's shirt?,white
258117,204962,What color is the plate that the food is on?,white
332298,489741,What color is the back of the clock?,white
222952,63334,What color is the ball?,white
86057,286469,What color is the bear?,white
122639,296851,What color is the boat in front?,white
397713,510028,What color are the blinds?,white
46547,2193,What color is the toy?,white
438597,231267,What color is the rug?,white
102423,28924,What color are the woman's shoes?,white
133195,246573,What color is the bus?,white
227477,195699,What color is the plate?,white
418365,239007,What color is the stove?,white
361178,105473,What color is the room?,white
355218,496891,What  color is the car?,white
101840,166915,What color is the fridge?,white
36886,569725,What color are the walls?,white
271769,2602,What color is the wall behind the child?,white
328853,488706,What color are her shoes?,white
253592,465740,What color are the person's pants?,white
260722,205769,What color is the stripe on the man's pants?,white
286534,82676,What color socks is the closest person wearing?,white
245893,201209,What color are her shoes?,white
297098,479141,What color is the helmet?,white
55333,277746,How many sinks are visible?,3
378721,504069,How many umbrellas are here?,3
365480,563929,How many zebras are pictured?,3
363126,106047,How many horizontal slats in the fence?,3
260983,522491,How many motorcycles are shown?,3
214530,322897,How many giraffes are in the picture?,3
405385,381314,How many chairs are in the picture?,3
443372,130955,How many levels are there to the building in the background?,3
29520,270574,How many bikes are in the  photo?,3
374289,171158,How many people are in the picture?,3
306532,219762,How many lamps are on the ceiling?,3
393165,438091,How many of the birds have their wings spread wide open?,3
440611,130074,How many birds?,3
239000,461201,How many birds are pictured?,3
219783,62324,How many people cutting the cake wear glasses?,3
200322,187650,How many animals are there?,3
7816,351352,How many planes are in the sky?,3
112641,31885,How many carrots are peeled?,3
48915,275980,How many chairs?,3
161325,438810,How many zebra legs can you see in the picture?,3
395488,116147,How many people are in this picture?,3
164377,177470,How many legs are there?,3
372189,371002,How many people are in the water?,3
352490,102834,How many birds are on the lady?,3
78266,22080,How many doughnuts are there?,3
315137,251167,How many rows are there?,3
235478,329118,How many elephants are there?,3
285751,213529,How many wheels are visible on the man's skateboard closest to the camera?,3
335904,33820,How many squares are on the back of the bus?,3
199360,318475,How many types of pizza are there?,3
29908,139598,How many people are there?,3
71296,151250,How many stripes are on the man's pants?,3
175169,311644,How many wheels are there?,3
136446,431808,How many slices of tomato on the plate?,3
187492,7228,How many people are cycling?,3
62566,279777,How many monitors are on the desk?,3
120414,34074,How many pairs of Nikes are visible?,3
11982,527748,How many inches long is the cell phone?,3
186348,52563,How many animals are there?,3
205798,58172,How many varieties of plants are there in this image?,3
322883,93649,How many wine glasses are there?,3
126765,429061,How many pillars are at the top of the building?,3
84007,506398,How many people are wearing hats?,3
102710,223288,How many windows on the train?,3
222021,325143,How many types of fruit are shown?,3
246252,332385,How many zebras are they?,3
269127,470516,How many wheels are shown in the picture?,3
41173,126959,How many skiers are seen?,3
435282,128500,How many signs do you see?,3
197988,55902,How many kites?,3
378788,373015,How many handles on the jug?,3
164646,308625,How many toys are there?,3
38636,404147,How many different types of storage do you see?,3
159636,45089,How many animals can be seen?,3
137155,355991,How many skateboarders are in this photo?,3
15393,528699,How many tracks are there?,3
136079,38490,How many giraffes?,3
193352,314920,How many mammals are in the vicinity of the picture?,3
178728,574784,How many different types of fruit are there?,3
91153,483757,How many persons have glasses?,3
440963,261266,How many boats are in the picture?,3
386129,215481,How many buses are there?,3
99047,27987,How many horses can be seen?,3
175111,311620,How many cars are visible in the background?,3
49378,548273,How many wires are there?,3
278337,351827,How many boats are in this photo?,3
1876,262688,How many people are skiing?,3
218710,250630,How many bags does the woman have?,3
130365,202747,How many motorcycles on the road?,3
106454,289061,How many pictures are on the wall?,3
272261,222344,How many horse's are in the field?,3
212036,60018,How many ways can you go on this street?,3
66003,280873,How many keyboards?,3
240038,333978,How many milks are there?,3
178889,50552,How many power poles are visible?,3
365476,563929,How many zebras are facing forward?,3
265595,532102,How many animals are visible?,3
100432,552630,What # is on the batter's Jersey?,3
332413,474847,How many hands are visible?,3
401061,238095,How many women are in the photo?,3
10097,527243,How many plates are there?,3
299237,479779,How many real people are pictured?,3
132126,561622,How many airplanes are there?,3
63960,18089,How many doughnuts in the box?,3
342034,230627,How many signs are there?,3
233668,579057,How many oranges are here?,3
314896,295647,How many different types of animals are in the photo?,3
262766,337448,How many computers are here?,3
84739,417160,How many wines are merlo?,3
65417,18542,How many people are in the room?,3
20406,5832,How many comps are there?,3
56420,540206,How many people are wearing shorts?,3
70844,20044,How many people are skiing?,3
340140,230046,How many people are shown?,3
276920,79660,How many elephants are visible?,3
337145,229088,How many buttons are on the jacket?,3
23608,137806,How many cows are facing the camera?,3
31233,533176,How many people are on the photo?,3
369869,108110,How many of these do you usually peel before eating?,3
137242,563123,How many kids are there?,3
268695,406073,How many women are behind the bar?,3
3075,525180,How many men are in this room?,3
175818,180778,How many computers are visible?,3
383521,61395,How many animals are here?,3
367720,369638,How many types of animals are shown?,3
135152,562517,How many people are looking at the camera?,3
184361,560391,How many types of fruit are shown?,3
100161,159346,How many people are on the couch?,3
368491,317833,How many foods are on a plate?,3
395961,509493,How many motorcycles are red?,3
24538,138103,How many bruises are on the banana?,3
409492,382653,How many monitors do you see?,3
312707,221651,What number of stories is the clock up?,3
309757,120827,How many silver caps are here?,3
415991,122597,How many bears are wearing pants?,3
246678,70363,How many trains are on the track?,3
152432,436306,How many bananas?,3
436813,391141,How many bottles are on table?,3
214554,322897,How many giraffes are there?,3
12631,396866,How many ducks are in the water?,3
420721,444945,How many children are in this picture?,3
339006,98639,How many stop signs are pictured?,3
215001,60890,How many vehicles are in the photo?,3
318626,354445,How many briefcases?,3
166899,309285,How many people are smiling?,3
253282,203495,How many little boys are in the picture?,3
412746,252608,How many mirrors can be seen?,3
51207,276671,How many women are there?,3
441716,130440,How many skateboards are in the picture?,3
186246,358281,How many busses are in this picture?,3
423114,386927,How many paw pads do you count?,3
189717,184585,How many flags are in the picture?,3
105634,160968,How many men are there?,3
353130,115599,How many giraffes are in the picture?,3
393456,237716,How many planes are on the airport?,3
184061,314082,How many windows are shown?,3
265228,274815,How many lamps are in the room?,3
66262,18792,How many animals are there?,3
31692,402228,How many people are on the couch?,3
310831,243044,What number is the player wearing?,3
56013,409022,How many elephants are pictured?,3
310366,220898,How many trains are on the track?,3
12871,193808,How many people can sit in the lounge chairs?,3
358290,497815,How many animals are there?,3
422071,517652,How many drinks are on the tray?,3
99267,421254,How many clouds are there?,3
55465,277775,How many humans are present?,3
190917,316003,How many fishing poles can you see?,3
35033,141038,How many wheels are in the air?,3
357074,235316,How many flags are in the photo?,3
292009,346497,How many people can sleep on this bed?,3
425075,545191,What number is on the bus?,3
116881,164142,How many servings of food does the guy have?,3
111937,162757,How many balls are on the ground?,3
224842,496696,How many different types of animals are present?,3
321006,224108,How many parrots do you see?,3
69086,248033,How many lights are there?,3
369984,542313,How many people are in this picture?,3
114611,556752,"How many people are behind the counter, working?",3
231550,557101,How many cows are in the picture?,3
219075,455322,How many plates are there?,3
417119,516198,How many people are there?,3
179738,50771,How many steps are there?,3
186182,5587,How many tiers are on the display rack?,3
107697,292579,How many 5 dollar bills are visible?,3
210696,141008,How many trains are visible?,3
184230,314139,How many zebras are there?,3
340434,99062,How many people are showing their teeth?,3
359036,498045,How many people are in photo?,3
405545,119225,How many houses are in the background?,3
251709,71970,How many cows are stacked?,3
91153,483757,How many persons have glasses?,3
132126,561622,How many airplanes are there?,3
382967,52248,How many people are shown?,3
111076,293587,How many dolls are in the photo?,3
102827,260317,How many books are stacked up?,3
136049,93795,How many geese are there?,3
394559,378028,How many chairs are around the table?,3
230077,327505,How many candles are present?,3
150440,116312,How many giraffes are there?,3
387850,375948,How many horses are there?,3
387408,375811,How many stories are in the residential building?,3
87023,286724,How many elephants?,3
279262,225265,How many pillows are on the bed?,3
183621,139712,How many modes of transportation are being displayed?,3
354487,103427,How many laptops are there?,3
413599,379405,How many people are on the elephant?,3
85198,24086,What is the age of the girl on the left?,3
45402,406055,How many people are wearing helmets?,3
393135,377619,How many rail tracks are there?,3
389763,245503,How many wheels does the airplane have?,3
329014,226595,How many toppings are on the pizza?,3
305896,481711,How many trees are in the foreground?,3
259524,336491,How many people are in this photo?,3
375602,109858,How many pink spoons are there?,3
331035,358312,How much oranges do you get for $1.25?,3
42469,12021,How many animals are in this scene?,3
133317,168758,How many people on the bridge?,3
239001,461201,How many birds?,3
259240,336374,How many are riding the waves?,3
404506,512173,How many objects are in this picture?,3
100161,159346,How many people are on the couch?,3
230235,327561,How many sets of skis do you see?,3
260464,74599,How many cars are in the picture?,3
366143,106952,How many boats are in the water?,3
124041,35126,How many trees are in the grass?,3
395862,509483,How many vehicles are there?,3
322905,486870,How many zebra are standing in unison?,3
86068,548616,How many people are surfing?,3
248240,273951,How many people are these?,3
239509,330284,How many elephants are seen in the image?,3
109586,548251,How many vehicles are visible besides the bus?,3
256005,335380,How many mirrors are there?,3
205651,320271,How many people in the photo?,3
218710,250630,How many bags does the woman have?,3
44929,536964,How many people are in the boat?,3
144464,40930,How many vehicles are in this picture?,3
284566,144747,How many apples in the shot?,3
328603,95412,How many poles in the picture?,3
401762,514581,How many buildings are in the photo?,3
54303,539596,How many people are here?,3
413183,121682,How many cups on the table?,3
240811,330683,How many cows are there?,3
407029,119695,How many towels are in the bathroom?,3
367812,238605,How many statues are there?,3
361826,236725,How many chairs are in this room?,3
113834,425433,How many wheels does the aircraft have?,3
190199,315808,How many train tracks are shown in the photo?,3
409405,325915,How many umbrellas are open?,3
115176,425836,How many trains are on the tracks?,3
389987,565217,How many mannequins do you see?,3
343336,493210,How many people are sailing?,3
242426,557640,How many cows are in the shade?,3
12651,30238,How many people are playing frisbee?,3
225904,64202,How many people are in the photo?,3
294034,216038,How many windows are there?,3
311129,298998,How many vases are on the table?,3
48839,74574,How many horses are visible?,3
304110,342340,How many people are in the photo?,3
156722,306447,How many tracks are to the right of the train?,3
200939,449985,How many cows have brown markings?,3
12449,151908,How many elephants are in this photo?,3
128469,167352,How many people in the water?,3
248329,146389,How many people are in the back of the pickup truck?,3
38872,535284,How many zebra are there?,3
227720,64704,How many rows in the fridge?,3
75745,152501,How many people are seated?,3
298178,217304,How many sailboats are there?,3
236345,67256,How many ladies are walking down the street?,3
171749,310673,How many waves are there?,3
119403,33765,How many giraffes are in the picture?,3
42009,142953,How many people are here?,3
192214,551267,How many smalls dishes are there?,3
427370,397005,How old is this little girl turning?,3
91532,287988,How many vegetables are there?,3
132340,430624,How many plates are pictured?,3
397001,577762,How many computers are on?,3
9056,2623,How many boats are docked?,3
222908,54245,How many people are riding the elephant?,3
199829,318598,How many types of equipment that utilize wind are featured in the picture?,3
115482,114678,How many different tiles are used in decorating this room?,3
123320,236078,How many different colors are on the man's uniform?,3
30793,547594,How many people are in this photo?,3
204538,57777,How many cats?,3
130508,167956,How many clouds are around the mountain?,3
407175,512951,How many people are in the room?,3
160694,176479,How many bears are there?,3
200322,187650,How many animals are there?,3
328584,474545,How many zebras are next to the water?,3
120096,427180,What number of windows are in this room?,3
428014,257341,What number or mirrors are above the sinks?,3
389941,324916,How many urinals are visible?,3
281703,343224,How many men are in the picture?,3
234757,480391,How many planes are in this picture?,3
404886,512263,"How many people are on the flotation device, in distant, upper part of the picture?",3
16153,571779,How many lights are hanging from the ceiling?,3
415419,195163,How many pillows can be seen on the bed?,3
39802,11258,How many buttons are done up?,3
65417,18542,How many people are in the room?,3
253139,465595,How many people are shown?,3
346704,232167,How many screens are being used?,3
136566,10015,How many people on the slope?,3
380926,111536,How many people are there?,3
257902,12302,How many palm trees do you see?,3
314636,364719,How many men do you see?,3
215159,534443,How many tires are used a bumpers on the dock?,3
369984,542313,How many people are in this picture?,3
284211,344065,How many different fruits are shown?,3
136706,300811,How many people are in the room?,3
219676,324442,How many stop signs are depicted?,3
112325,293949,How many people are wearing hats?,3
151600,42853,How old are you?,3
76146,545812,How many stripes on the players shoe?,3
311242,189778,How many waves are in the picture?,3
438111,152633,How many boys are in the photo?,3
221083,455879,How many bats are there?,3
113157,425269,How many people are sitting at the picnic table?,3
276589,472783,How many windows are visible?,3
327860,526912,How many bikes are there?,3
324577,299679,What number is repeated twice on the red sign?,3
109940,31081,How many are wearing glasses?,3
390549,376819,How many rockers are in the picture?,3
96984,420598,How giraffes are pictured?,3
292437,84495,How many elephants are seen here?,3
270504,208821,How many fur rugs can be seen?,3
15677,104898,How many zebras?,3
220332,324611,How many chairs are green?,3
175128,532535,How many candles are there?,3
394559,378028,How many chairs are around the table?,3
5791,525953,How many giraffes are in the picture?,3
148443,464037,How many cars are parked on the side of the sidewalk?,3
422189,124471,How many giraffes are there?,3
203586,581770,How many engines can be seen at this angle?,3
424954,518601,How many doors are on the fridge?,3
346486,363171,How many rings are in the halo around the light?,3
306810,482002,How many bracelets is the woman wearing?,3
261283,74861,What is the furthest visible train platform number?,3
196204,55402,How many animals can be seen?,3
224095,436803,How many  persons are  behind this man?,3
262511,468443,How old is Samuel turning this birthday?,3
62006,17481,How many lights are there?,3
410063,120655,How many trees are there?,3
282435,474550,How many separate pictures are in this image?,3
10083,396165,How many zebras are in this picture?,3
402417,249382,How many snowboarders are there?,3
310831,243044,What number is the player wearing?,3
86507,24446,How many cars are in the picture?,3
342034,230627,How many signs are there?,3
276423,210591,How many ponies are in the picture?,3
102678,553285,How many cars can be seen?,3
424954,518601,How many doors are on the fridge?,3
388803,114101,How many vehicles are visible?,3
368166,369770,How many forks are on the plate?,3
80123,559411,How many people do you see?,3
311129,298998,How many vases are on the table?,3
328543,226460,How many canoes are there?,3
215001,60890,How many vehicles are in the photo?,3
186444,314738,How many different vegetables are there?,3
315137,251167,How many rows are there?,3
61819,279584,How many plates are on the table?,3
316017,511255,How many pictures on the walls?,3
239083,330139,How many animals in this scene?,3
67764,221654,How many people are jumping?,3
113124,425254,How many animals are there?,3
436620,522150,How many bikes?,3
238784,229774,How many towels are hanging on the towel rack?,3
34851,419324,How many people are there?,3
169520,117203,How many animals are in the picture?,3
416243,384836,How many animals are there?,3
234155,66586,How many phones are in the photo?,3
435931,128691,How many glasses are on the table?,3
14036,397212,How many ears are in the picture?,3
340458,230141,How many windows are on the building?,3
62193,410755,How many people are in the scene?,3
394914,509210,What number of windows are in this room?,3
314636,364719,How many men do you see?,3
211484,190921,How many bats are in the photo?,3
51648,276740,How many hot dogs are there?,3
329487,465824,How many tires do you see?,3
321221,496115,How many people are wearing black tops?,3
372189,371002,How many people are in the water?,3
216475,97614,How many cars are visible?,3
720,524508,How many horses are in the picture?,3
82247,154310,How many cows are there?,3
148843,173163,How many cars are there?,3
172488,310865,How many people are there?,3
70065,150919,How many items are in the bag?,3
239000,461201,How many birds are pictured?,3
175737,573967,How many buildings are there?,3
441716,130440,How many skateboards are in the picture?,3
413599,379405,How many people are on the elephant?,3
69164,445832,How many people can be seen?,3
156722,306447,How many tracks are to the right of the train?,3
237934,67742,How many horses are there?,3
18505,5294,How many benches are there?,3
297842,479372,How many stories is this building?,3
38831,10981,How many tracks are there?,3
219676,324442,How many stop signs are depicted?,3
44950,536969,How many players are on the field?,3
355461,234819,How many motorcycles are there?,3
75076,313979,How many rolls of tissue do you see?,3
12018,396685,How many containers are there?,3
154582,160201,How many monitors are on the desk?,3
62776,148786,How many animals are there?,3
204513,319912,How many benches are there?,3
431387,554168,How many of each animal are pictured?,3
78266,22080,How many doughnuts are there?,3
232446,130184,How many brands of tea are shown?,3
236032,198227,How many dishes are there?,3
7565,264371,How many toothbrushes in the photo?,3
137476,443390,How many zebra heads can you see?,3
121094,558542,How many windows?,3
413087,252730,How many trees are visible?,3
35694,312565,How many children are there?,3
382267,18658,How many monitor is there?,3
126699,268114,How many boats are there?,3
186313,445768,How many giraffes?,3
267236,296769,How many animals are pictured?,3
327762,357301,How many animals are crossing the road?,3
278337,351827,How many boats are in this photo?,3
198721,449310,How many sections of the room are framed in red?,3
112771,31923,How many people are under the umbrella?,3
206149,320436,How many benches are visible?,3
9414,2742,How many pizzas are in the picture?,3
173457,429353,How many buses are there?,3
94876,572443,How many widows?,3
281503,212083,How many people are shown?,3
50156,276343,How many feet does the elephant have on the ground?,3
219983,490993,How many stars are on the wall?,3
302032,349560,How many pictures are on the wall?,3
394571,378029,How many zebras are in this photo?,3
410078,100037,How many animals are here?,3
191772,578369,How many people?,3
33651,110821,How many toppings are on the pizza?,3
422373,255610,How many blades do you see in the picture?,3
123179,34854,How many kinds of foods are placed on the plate?,3
349437,364032,How many appliances are on the counter?,3
166949,571441,How many elephants can be seen?,3
32989,140460,How many buses are there?,3
396416,150473,How many of the sheep are young?,3
202585,319332,How many people are visible?,3
287033,344989,How many people are on the platform?,3
331181,489426,How many fingers on the player's left hand can you see individually?,3
285724,303897,How many people are sitting on the bench?,3
159805,307280,How many horses are running?,3
265839,100084,How many giraffes are in this picture?,3
310937,89992,How many people are in this pic?,3
184824,314285,How many people are there?,3
62435,279747,How many traffic lights are there?,3
423875,256107,How many drawers are in this bathroom?,3
77051,21772,How many  sheep are in the photo?,3
364784,237643,How many animals are there?,3
343242,493187,How many street lights are there?,3
417216,42347,How many vehicles?,3
189743,577809,How many apples are there?,3
132127,561622,How many lights are there?,3
54258,277439,How many people are there?,3
288417,227508,How many people are in the picture?,3
258814,74090,How many players are seen?,3
260785,467929,What number is he wearing?,3
36136,141336,How many skis are on the ground?,3
226538,64348,How many sheep are in the picture?,3
75778,152505,How many people are there?,3
114419,425612,How many elephants do you think there are?,3
330835,177957,How many different color flowers are there?,3
343522,169589,How many lanes is the road?,3
266487,338579,How many of the cattle are not grazing?,3
361849,105666,How many donut holes are there?,3
169856,441172,How many lights do you see?,3
182590,51555,How many pictures are on the wall?,3
216562,192497,How many colors are on her shirt?,3
401977,497125,How many times is the number 8 written in Spanish?,3
210006,321592,How many motorcycles are in the pic?,3
207,458763,How many trees on the table?,3
365453,499982,How many princesses are on the suitcase?,3
372686,192931,How many windows are there?,3
338083,8329,What number is on the back of the player?,3
56367,278045,How many zebras can you see?,3
63718,351283,What track is the red train at?,3
287912,476341,How many cones are visible?,3
303256,87738,What number of sparklers are in this cake?,3
308884,351537,How many tracks are they?,3
40894,535856,What is the total number of chairs in this picture?,3
365476,563929,How many zebras are facing forward?,3
113124,425254,How many animals are there?,3
112325,293949,How many people are wearing hats?,3
329462,168858,How many lights are reflected on the floor?,3
7014,133115,How many animals are here?,3
52686,145912,How many sheep are walking?,3
416706,253904,How many cupcakes can  be seen?,3
255054,72947,How many people are in the photo?,3
362034,410836,How many computer screens are here?,3
428270,126355,How many open computers are in this picture?,3
91532,287988,How many vegetables are there?,3
47529,537726,How many sheep are facing the camera?,3
6580,132972,How many large appliances are shown?,3
420068,326475,How many giraffes are there?,3
194140,316867,How many sidewalk squares are visible?,3
76000,69117,How many vehicles are waiting?,3
128496,560576,How many animals are there?,3
65086,308905,How many people are in the photo?,3
111162,555755,How many remotes are on the table?,3
71264,544457,How many vases are there?,3
328210,95308,How many people are in this photo?,3
32110,402332,"How many times does the word ""dogs"" appear in the image?",3
194662,448115,How many trains are on the railroad tracks?,3
365015,237715,How many horses are there?,3
366663,432917,How many people are visible in this photo?,3
34681,140943,How many people are waiting at the bus station?,3
254730,220651,How many animals can be seen?,3
317266,222983,How many pans are there?,3
347806,494622,How many people are wearing watches?,3
233670,579057,How many types of fruits?,3
371947,370917,How many people are wearing helmets?,3
282752,81461,How many wheels are visible?,3
332606,489849,How many adult cows are in the photo?,3
98326,27764,How many people are in this race?,3
36567,307567,How many planes are there?,3
154016,174615,How many poles are shown?,3
218299,324012,How many monitors are there?,3
296244,80246,How many men are wearing a tie?,3
111941,162757,How many tennis balls are in this picture?,3
242311,186265,How many tines are there?,3
355775,365999,How many tennis balls are there?,3
186956,576994,How many lights are shown in the picture?,3
234232,197686,How many planes are there?,3
280701,80745,How many stickers are there?,3
82247,154310,How many cows are there?,3
362826,368086,How many electronic items do you see?,3
216050,192301,How many different fruits are shown?,3
356390,235091,How many kids are in the picture?,3
143214,302687,How many vehicles are in the picture?,3
413895,121931,How many pillows are there?,3
352974,102968,How many horses in this photo?,3
210689,452831,What is the second number of the bus?,3
314636,364719,How many men do you see?,3
373305,18194,How many spectators are there?,3
203504,581738,How many buses are immediately seen?,3
151803,173987,How many dogs are in the photo?,3
168856,571953,How many giraffes are in the picture?,3
321968,486571,How many trains are blue?,3
109492,30960,How many buttons on the jacket?,3
379946,111245,How many doughnuts are there?,3
116881,164142,How many servings of food does the guy have?,3
308025,351268,How many different colors are on the fire hydrant?,3
137914,39010,How many stuffed dolls on the chair?,3
415212,383968,How many people are shown?,3
415117,122343,How many trucks are on the street?,3
194662,448115,How many trains are on the railroad tracks?,3
225498,457292,How many plates are on the table?,3
258163,204979,How many electronic items are pictured?,3
169705,310053,How many trucks are not facing the camera?,3
109324,289140,How many food groups are represented here?,3
192570,185368,How many people who are not police officers are in the picture?,3
65365,68623,How many elephants are there?,3
89377,13934,How many train carts are there?,3
319136,354626,What is number on the side of the bus?,3
213378,446974,How many lights are red?,3
194280,185832,How many people are playing a video game?,3
20288,284956,How many girls are shown?,3
415123,122343,How many trucks are in the picture?,3
317969,443883,How many cows are shown?,3
57042,2686,How many people are in this picture?,3
245449,463224,How many people are riding the elephant?,3
54047,277386,How old is she?,3
112807,425150,How many floors are there in this building?,3
128496,560576,How many animals are there?,3
259442,121612,How many oven mitts are hanging on cupboards?,3
163883,138785,How many books are under the table?,3
105503,160932,How many doors are there?,3
277300,210844,How many people are there?,3
352705,233956,How many birds are in the picture?,3
186487,52606,How many people are in the picture?,3
242038,200010,How many chairs are near the patio table?,3
405232,522298,How many people?,3
378129,503875,How many boats are in the water?,3
390007,331152,How many elephants are there?,3
370490,501549,How many people are wearing helmets?,3
270370,253251,How many plants are visible?,3
69648,232322,How many cameras in the shot?,3
303916,350067,How many pairs of scissors?,3
166142,178009,How many barricades are shown?,3
285119,82228,How many hands are visible in the photo?,3
404504,512173,How many people are in the water?,3
234991,328978,How many people are on the bench?,3
274715,144230,How many people are wearing helmets?,3
174384,289698,How many stripes are on the cats faces?,3
48123,175033,How many zebras are there?,3
138950,432526,How many men are riding skis?,3
189743,577809,How many apples are there?,3
198244,47509,How many people are wearing glasses?,3
291353,346310,How many zebras are drinking?,3
49378,548273,How many wires are there?,3
108936,555080,How many candles are there?,3
211777,191005,How many giraffes are there?,3
25516,400560,How many chairs are in this picture?,3
6427,263995,How many plants are on the right?,3
39353,253513,How many electronic devices are on the table?,3
275146,210175,How many people are in this picture?,3
227181,326684,How many traffic lights can be seen?,3
52401,539051,How many fins does the board have?,3
406286,457888,How many post are in this field?,3
101717,485387,How many people are in this picture?,3
218296,61867,How many zebras are in this picture?,3
25315,504021,How many cars are in the picture?,3
46646,275339,How many jars are there?,3
234046,197624,How many towels are there?,3
